winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser,date
Sharapova M.,Rodionova A.,2.868316373827099,1.0079607400132113,1.7878900618511115,2.1222185654539585,1.03,11,2007-01-18
Kostanic J.,Stosur S.,-0.3456652525279333,2.6406799405081163,1.3683330025678702,1.0995046830044846,3.75,1.25,2007-01-18
Williams S.,Petrova N.,2.022942989692495,1.1666638469421289,1.1690148151816842,1.3747575716582978,2.5,1.5,2007-01-19
Jankovic J.,Azarenka V.,4.905870448349923,2.036332016190174,0.9655118047467134,1.7663580905879337,1.08,7,2007-01-19
Safarova L.,Yakimova A.,1.3073331419723306,1.806128667181962,1.3258569008724812,1.9070117950415773,1.39,2.75,2007-01-19
Kuznetsova S.,Kirilenko M.,0.512406222031104,0.9945978160069493,1.3639034304814457,1.253591627462977,1.12,5.5,2007-01-19
Mauresmo A.,Birnerova E.,2.9118450326469985,0.8254530694218998,1.338789053307632,1.352629441302938,1.01,13,2007-01-19
Dementieva E.,Camerin M.E.,1.0177439529246564,-0.051901683321118205,1.332231723370253,1.0824426039893027,1.14,5,2007-01-19
Peer S.,Golovin T.,2.902498528559839,1.686813035572068,1.0395854217090326,1.3861728266712088,1.83,1.83,2007-01-19
Vaidisova N.,Srebotnik K.,3.3728181885706805,0.8667851051396881,1.1824473477205035,1.0002449256890644,1.16,4.5,2007-01-19
Sharapova M.,Garbin T.,3.2142818255404557,2.3730570871265604,1.672279985939806,1.1959134879775897,1.03,10,2007-01-20
Clijsters K.,Bondarenko A.,5.644308914513337,2.058534404464744,1.2343235586542085,1.2391962722671013,1.02,11,2007-01-20
Hingis M.,Nakamura A.,3.437824409169816,1.9525720003391294,0.9167892602587465,1.0574073534243278,1.06,8,2007-01-20
Zvonareva V.,Ivanovic A.,2.702614801365904,2.0875491414258396,0.9430474453000515,1.0702757947468153,2.25,1.57,2007-01-20
Schnyder P.,Molik A.,1.3615074103962301,2.4315488061926813,1.437172436963299,1.1143899997515783,1.39,2.75,2007-01-20
Hantuchova D.,Harkleroad A.,1.649472980418603,1.0126934155599203,1.2474589912207272,1.4382424281219748,1.39,2.75,2007-01-21
Li N.,Safina D.,2.0961326052004314,3.560762051603573,1.046950345023888,0.9314834636799674,2.1,1.66,2007-01-21
Chakvetadze A.,Kostanic J.,4.495639720916802,1.1432221410888772,1.3350107823944346,1.0715910590428301,1.16,4.5,2007-01-21
Safarova L.,Mauresmo A.,2.0598287403991042,3.1130484360725807,1.2286996235176009,1.2620726248936511,8.0,1.06,2007-01-21
Peer S.,Kuznetsova S.,3.25702805617854,1.1979913308008483,0.9786322225693381,1.17861936241046,3.0,1.36,2007-01-21
Vaidisova N.,Dementieva E.,3.496520784082542,1.4540117186867272,1.139947105089949,1.213358029124828,1.57,2.25,2007-01-21
Williams S.,Jankovic J.,2.509267404363725,5.108552332126952,1.0893664715804727,0.9492301104866382,2.75,1.39,2007-01-21
Hingis M.,Li N.,3.36802244915819,2.7422773050831313,0.8353920227977747,0.9423547305387664,1.53,2.37,2007-01-22
Clijsters K.,Hantuchova D.,5.52407353306977,2.0402861805558223,1.1801514648924614,1.1460611567354573,1.03,11,2007-01-22
Chakvetadze A.,Schnyder P.,4.6373981877981105,2.3171349196127737,1.290329914273749,1.218035628293473,1.8,1.9,2007-01-22
Sharapova M.,Zvonareva V.,3.837977155575364,2.857912236751011,1.4931647084264716,0.8628032962441083,1.14,5,2007-01-22
Vaidisova N.,Safarova L.,3.4979120978925944,3.0957141452367143,1.040740696138712,1.142799975268527,1.33,3.25,2007-01-23
